               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  66,            0.031303,            0.019143,           0.0011284,             0.95271,             0.96113,             0.98139,             0.60634,            0.026387,            0.010303,          0.00055003,           0.0093565,           0.0093565,           0.0093565
                  67,            0.031838,            0.019843,           0.0011416,             0.95818,             0.97222,             0.96636,             0.59878,            0.026077,            0.010484,           0.0006846,           0.0093466,           0.0093466,           0.0093466
                  68,            0.032081,            0.019366,           0.0011344,             0.96088,             0.97222,              0.9652,              0.5801,            0.026688,            0.010545,          0.00073113,           0.0093367,           0.0093367,           0.0093367
                  69,            0.031262,            0.019326,           0.0010269,             0.95577,              0.9683,             0.97116,             0.53627,            0.027002,             0.01075,          0.00076585,           0.0093268,           0.0093268,           0.0093268
                  70,             0.03169,            0.019522,           0.0010182,               0.982,             0.98556,               0.995,              0.5186,            0.028063,            0.011245,          0.00062282,           0.0093169,           0.0093169,           0.0093169
                  71,             0.03128,            0.019304,           0.0010251,             0.98423,                   1,               0.995,             0.54598,            0.027632,            0.011049,          0.00064247,            0.009307,            0.009307,            0.009307
                  72,               0.031,            0.019399,           0.0010574,             0.98924,                   1,               0.995,              0.5859,            0.027473,            0.010132,          0.00063872,           0.0092971,           0.0092971,           0.0092971
                  73,            0.031221,            0.019742,           0.0011644,             0.91644,              0.8995,             0.91616,             0.53475,               0.028,            0.011246,          0.00076289,           0.0092872,           0.0092872,           0.0092872
                  74,            0.031035,            0.019242,           0.0011125,             0.98706,                   1,               0.995,             0.60869,            0.026691,            0.010365,           0.0011616,           0.0092773,           0.0092773,           0.0092773
                  75,             0.03102,            0.019579,          0.00097291,             0.91698,             0.93333,             0.91889,             0.60851,            0.026207,           0.0098562,          0.00063958,           0.0092674,           0.0092674,           0.0092674
                  76,            0.031222,            0.019267,          0.00096681,             0.98247,             0.99996,               0.995,             0.59015,            0.027598,             0.01027,          0.00084484,           0.0092575,           0.0092575,           0.0092575
                  77,            0.030755,            0.019285,           0.0010024,              0.9863,             0.99711,               0.995,             0.55712,            0.027144,            0.010861,          0.00079052,           0.0092476,           0.0092476,           0.0092476
                  78,            0.030652,            0.018997,          0.00094148,             0.98514,                   1,               0.995,              0.5624,            0.026401,            0.010583,          0.00064859,           0.0092377,           0.0092377,           0.0092377
                  79,            0.030548,            0.019057,          0.00092345,             0.98995,                   1,               0.995,             0.57045,            0.027922,             0.01028,          0.00070331,           0.0092278,           0.0092278,           0.0092278
                  80,            0.031501,             0.01928,          0.00097159,             0.98271,                   1,               0.995,             0.58811,            0.027131,            0.010316,          0.00061858,           0.0092179,           0.0092179,           0.0092179
                  81,            0.030646,            0.018638,          0.00099725,             0.97602,             0.99665,               0.995,             0.54197,            0.027605,            0.010684,           0.0006216,            0.009208,            0.009208,            0.009208
                  82,            0.031455,            0.019549,          0.00095216,             0.98535,             0.99502,               0.995,             0.55789,            0.026216,           0.0099154,          0.00050387,           0.0091981,           0.0091981,           0.0091981
                  83,            0.030747,            0.018869,           0.0009123,             0.98896,                   1,               0.995,             0.56304,            0.028588,            0.010997,          0.00057216,           0.0091882,           0.0091882,           0.0091882
                  84,            0.030781,            0.019473,          0.00097303,             0.98309,                   1,               0.995,             0.58883,            0.026901,            0.011121,           0.0007149,           0.0091783,           0.0091783,           0.0091783
                  85,             0.03077,            0.019404,          0.00093727,             0.98603,                   1,               0.995,             0.60395,            0.024645,            0.010178,           0.0010931,           0.0091684,           0.0091684,           0.0091684
                  86,            0.030964,            0.019025,          0.00096623,             0.96119,             0.97222,             0.96356,              0.5925,            0.027496,            0.010948,          0.00082541,           0.0091585,           0.0091585,           0.0091585
                  87,            0.030516,            0.018998,          0.00087633,             0.93604,             0.94444,             0.93493,             0.52854,            0.029347,            0.010692,          0.00089555,           0.0091486,           0.0091486,           0.0091486
                  88,             0.03082,             0.01944,          0.00099843,             0.98416,                   1,               0.995,             0.55956,            0.027042,            0.010537,          0.00059385,           0.0091387,           0.0091387,           0.0091387
                  89,            0.030167,            0.019266,           0.0010884,             0.95181,              0.9675,             0.97089,             0.52118,            0.029687,            0.011419,           0.0012769,           0.0091288,           0.0091288,           0.0091288
                  90,            0.030864,            0.018934,           0.0010262,             0.95662,             0.97006,             0.96666,              0.5551,            0.027689,            0.010742,          0.00068152,           0.0091189,           0.0091189,           0.0091189
                  91,            0.030447,            0.018997,          0.00089719,             0.96526,             0.97066,              0.9595,              0.5532,            0.027904,            0.011107,          0.00065162,            0.009109,            0.009109,            0.009109
                  92,            0.030872,            0.019565,          0.00090129,             0.93135,             0.86667,             0.90376,             0.53059,            0.026636,            0.010894,          0.00073757,           0.0090991,           0.0090991,           0.0090991
                  93,            0.029649,            0.018684,          0.00091782,             0.98489,                   1,               0.995,             0.58751,            0.026435,             0.01126,          0.00047922,           0.0090892,           0.0090892,           0.0090892
                  94,            0.030526,            0.019288,          0.00093991,             0.98699,                   1,               0.995,             0.57575,             0.02859,            0.011145,          0.00062244,           0.0090793,           0.0090793,           0.0090793
                  95,             0.03051,            0.018714,          0.00092297,             0.98168,                   1,               0.995,             0.60505,              0.0283,             0.01097,          0.00097983,           0.0090694,           0.0090694,           0.0090694
                  96,            0.030141,            0.019475,          0.00097575,             0.92172,             0.93333,             0.93212,              0.6138,            0.026644,            0.010569,          0.00046978,           0.0090595,           0.0090595,           0.0090595
                  97,            0.030449,            0.018935,          0.00091256,             0.90632,             0.93258,             0.91889,             0.57755,            0.027127,            0.011338,          0.00076704,           0.0090496,           0.0090496,           0.0090496
                  98,            0.030274,            0.018441,          0.00096668,             0.98683,                   1,               0.995,             0.60321,            0.026094,             0.01122,          0.00054827,           0.0090397,           0.0090397,           0.0090397
                  99,            0.030351,            0.019439,          0.00096316,             0.98121,              0.9972,               0.995,             0.57087,            0.027362,             0.01125,          0.00046344,           0.0090298,           0.0090298,           0.0090298
                 100,            0.030556,            0.018279,           0.0010513,             0.98236,                   1,               0.995,             0.57043,            0.027067,            0.010793,          0.00050104,           0.0090199,           0.0090199,           0.0090199
                 101,            0.030095,            0.018323,          0.00091297,             0.98785,                   1,               0.995,              0.5927,            0.026671,            0.010971,          0.00041184,             0.00901,             0.00901,             0.00901
                 102,             0.03002,            0.018385,          0.00092385,             0.97655,                   1,               0.995,             0.59049,             0.02867,            0.011017,          0.00053315,           0.0090001,           0.0090001,           0.0090001
